id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
57631,2023-02-20 17:26:52,31124,MOTO G42 4/128 VERDE,1.0,SUC. FIESTA (IRAPUATO),4568.10586207,4568.11
57630,2023-02-20 17:13:59,28971,MOTO G52 6/256 BLANCO,1.0,SUC. CORREGIDORA 3 (QRO),5861.21,5861.21
57089,2023-02-18 17:12:16,30356,HONOR X6 4/64 NEGRO,1.0,SUC. MAYOREO (QRO),3102.59,3102.59
57131,2023-02-18 21:30:00,29340,SAM A13 4/64 BLANCO,1.0,SUC. MAYOREO (QRO),3619.83,3619.83
57569,2023-02-20 00:01:13,30980,MOTO G22 4/128 AZUL,1.0,SUC. ALAMEDA (QRO),3878.45,3878.45
57609,2023-02-20 00:57:42,29904,MOTO E32 4/64 GRIS,1.0,SUC. CORREGIDORA 4 (QRO),3706.04,3706.04
57607,2023-02-20 00:51:20,30357,HONOR X6 4/64 AZUL,1.0,SUC. ALLENDE (QRO),3103.44827586,3103.45
57601,2023-02-20 00:44:39,29337,SAM A53 6/128 NEGRO,1.0,SUC. CORREGIDORA 2 (QRO),7671.55,7671.55
57600,2023-02-20 00:42:43,29341,SAM A13 4/64 NEGRO,1.0,SUC. ALLENDE (QRO),3620.68965517,3620.69
57596,2023-02-20 00:37:20,29339,SAM A13 4/64 AZUL,1.0,SUC. ALLENDE (QRO),3619.83,3619.83
57590,2023-02-20 00:37:10,26541,XIAOMI REDMI-NOTE-11S 6/128 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),4568.11,4568.11
57587,2023-02-20 00:35:30,31486,XIAOMI REDMI-A1 2/32 VERDE,1.0,SUC. PARQUE (CELAYA),1981.9,1981.9
57584,2023-02-20 00:30:31,30356,HONOR X6 4/64 NEGRO,1.0,SUC. PARQUE (CELAYA),3102.59,3102.59
57583,2023-02-20 00:17:24,40120,SAM A23 4/64 BLANCO,1.0,SUC. ALLENDE (QRO),4396.55172414,4396.55
57577,2023-02-20 00:08:43,30564,HONOR X6S 4/128 PLATA,1.0,SUC. ALAMEDA (QRO),3188.8,3188.8
57573,2023-02-20 00:02:52,26565,SAM A03S 4/64 AZUL KIT,1.0,SUC. ALLENDE (QRO),3448.27586207,3448.28
57567,2023-02-19 23:55:47,30357,HONOR X6 4/64 AZUL,1.0,SUC. ALAMEDA (QRO),3102.59,3102.59
57562,2023-02-19 23:53:20,30980,MOTO G22 4/128 AZUL,1.0,SUC. ALLENDE (QRO),3878.45,3878.45
57558,2023-02-19 23:49:14,30564,HONOR X6S 4/128 PLATA,1.0,SUC. ALLENDE (QRO),3188.8,3188.8
57555,2023-02-19 23:49:01,26671,HONOR X8 6/128 PLATA,1.0,SUC. ALLENDE (CELAYA),4481.9,4481.9
57552,2023-02-19 23:48:23,26729,HONOR X8 6/128 AZUL,1.0,SUC. ALAMEDA (QRO),4481.9,4481.9
57550,2023-02-19 23:46:17,30980,MOTO G22 4/128 AZUL,1.0,SUC. ALLENDE (CELAYA),3878.45,3878.45
57546,2023-02-19 23:41:19,31122,MOTO G52 6/256 AZUL,1.0,SUC. CORREGIDORA 3 (QRO),5861.21,5861.21
57542,2023-02-19 23:39:58,31487,SAM A23 4/64 AZUL,1.0,SUC. ALLENDE (QRO),4395.69,4395.69
57541,2023-02-19 23:39:46,30357,HONOR X6 4/64 AZUL,1.0,SUC. ALLENDE (QRO),3102.59,3102.59
57535,2023-02-19 23:38:38,30563,HONOR X6S 4/128 AZUL,1.0,SUC. ALLENDE (QRO),3188.8,3188.8
57533,2023-02-19 23:33:34,26730,HONOR X8 6/128 NEGRO,1.0,SUC. ALLENDE (QRO),4481.9,4481.9
57529,2023-02-19 23:33:18,29057,XIAOMI REDMI-NOTE-11 4/128 GRIS,1.0,SUC. ALLENDE (QRO),4050.86,4050.86
57525,2023-02-19 23:31:48,25535,MOTO E40 4/64 GRIS,1.0,SUC. ALLENDE (QRO),2843.97,2843.97
57521,2023-02-19 23:27:25,25533,MOTO E20 2/32 AZUL,1.0,SUC. LEON CENTRO (LEON),2068.1,2068.1
57517,2023-02-19 23:23:12,25533,MOTO E20 2/32 AZUL,1.0,SUC. LEON CENTRO (LEON),2068.1,2068.1
57512,2023-02-19 23:18:50,29339,SAM A13 4/64 AZUL,1.0,SUC. LEON CENTRO (LEON),3619.82,3619.82
57509,2023-02-19 23:13:14,30564,HONOR X6S 4/128 PLATA,1.0,SUC. BOULEVARES (QRO),3188.8,3188.8
57506,2023-02-19 23:11:30,29340,SAM A13 4/64 BLANCO,1.0,SUC. FIESTA (IRAPUATO),3619.83,3619.83
57501,2023-02-19 23:11:09,26579,MOTO G41 4/128 DORADO,1.0,SUC. LEON CENTRO (LEON),3619.82,3619.82
57498,2023-02-19 23:11:08,31122,MOTO G52 6/256 AZUL,1.0,SUC. HIDALGO (CELAYA),5861.21,5861.21
