id,date,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
83877,2022-09-28 22:58:49,26671,HONOR X8 6/128 PLATA,1.0,SUC. ALAMEDA (QRO),4568.10344828,4568.1
83880,2022-09-28 23:00:51,29411,20.0% de descuento en productos,1.0,SUC. FIESTA (IRAPUATO),-34.138,-34.14
83883,2022-09-28 23:03:18,27299,SAM A13 4/128 NEGRO,1.0,SUC. LA VICTORIA (QRO),4137.07,4137.07
83896,2022-09-28 23:38:17,26582,MOTO G22 4/128 NEGRO KIT,1.0,SUC. LA VICTORIA (QRO),3878.45,3878.45
83924,2022-09-29 00:02:49,24889,8A19LEDMV200TCRGBW LAMPARA LED A19 RGB 8W 100-127V 3000K,1.0,SUC. ANDADOR (CELAYA),214.65517241,214.66
83947,2022-09-29 00:33:13,29411,20.0% de descuento en productos,1.0,SUC. ALAMEDA (QRO),-20.518,-20.52
83949,2022-09-29 00:35:38,24888,7A19LEDMV200TCW LAMPARA LED A19 7W 127V,2.0,SUC. GALERIAS (QRO),171.55172414,343.1
83950,2022-09-29 00:35:38,24874,KITSSEGTCW KIT 2CAMARA SIRENA SENS/PV SENS MOV CTR,1.0,SUC. GALERIAS (QRO),3447.4137931,3447.41
83951,2022-09-29 00:35:38,25648,GAR108 PLUGIN AUTO 1HORA 2PUERTOS GAR108 NEGRO,1.0,SUC. GALERIAS (QRO),59.48275862,59.48
83957,2022-09-29 00:39:17,29411,20.0% de descuento en productos,1.0,SUC. GALERIAS (QRO),-42.932,-42.93
83961,2022-09-29 00:41:43,25648,GAR108 PLUGIN AUTO 1HORA 2PUERTOS GAR108 NEGRO,-1.0,SUC. ANTEA (QRO),59.48275862,-59.48
83969,2022-09-29 00:50:05,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-206.38,-206.38
83975,2022-09-29 00:56:44,24858,I-MOBIL GSM-IM220 X/X NEGRO/VERDE KIT,1.0,SUC. ANTEA (QRO),309.48,309.48
83996,2022-09-29 15:14:22,19481,BLU Z5 X/X NEGRO,1.0,SUC. GUERRERO (QRO),257.75862069,257.76
83997,2022-09-29 15:28:40,25989,XIAOMI POWERBANK 10000 mAh NEGRO,1.0,SUC. URBAN (QRO),516.37931034,516.38
83998,2022-09-29 15:28:40,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-103.276,-103.28
84009,2022-09-29 15:52:26,24856,I-MOBIL 3G-IM19 X/X NEGRO/VERDE KIT,1.0,SUC. ALLENDE (QRO),447.41,447.41
84013,2022-09-29 16:12:34,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-103.104,-103.1
84017,2022-09-29 16:16:41,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-68.794,-68.79
84019,2022-09-29 16:22:47,26433,SAM A23 4/128 AZUL,1.0,SUC. CORREGIDORA 4 (QRO),4999.13793103,4999.14
84021,2022-09-29 16:35:26,19473,BLU TANK-MEGA X/X NEGRO/NARANJA,1.0,SUC. PARQUE (QRO),602.5862069,602.59
84024,2022-09-29 16:43:16,26565,SAM A03S 4/64 AZUL KIT,1.0,SUC. PLAZA PATIO (QRO),3016.38,3016.38
84041,2022-09-29 17:33:28,29411,20.0% de descuento en productos,1.0,SUC. BOULEVARES (QRO),-51.552,-51.55
84044,2022-09-29 17:48:03,26671,HONOR X8 6/128 PLATA,1.0,SUC. PARQUE (QRO),3964.66,3964.66
84051,2022-09-29 18:13:42,29411,20.0% de descuento en productos,1.0,SUC. CONSTITUYENTES (QRO),-34.31,-34.31
84053,2022-09-29 18:19:11,25785,SAM A52 6/128 BLANCO KIT,1.0,SUC. CORREGIDORA 3 (QRO),6464.65517241,6464.66
84064,2022-09-29 18:50:03,26735,Descuento,507.0,SUC. ANDADOR (CELAYA),-0.01,-5.07
84067,2022-09-29 18:57:38,30090,XIAOMI POCO-C40 4/64 NEGRO,1.0,SUC. LEON CENTRO (LEON),2671.55172414,2671.55
84080,2022-09-29 19:34:05,26432,SAM A13 4/128 AZUL,1.0,SUC. LA VICTORIA (QRO),4137.07,4137.07
84087,2022-09-29 19:48:33,29554,XIAOMI MI WATCH LITE BLANCO,1.0,SUC. CORREGIDORA 4 (QRO),1378.44827586,1378.45
84090,2022-09-29 19:49:55,19482,BLU Z5 X/X TURQUESA,1.0,SUC. LEON CENTRO (LEON),257.75862069,257.76
84093,2022-09-29 19:54:23,26000,XIAOMI REDMI-9A 2/32 GRIS,1.0,SUC. ALLENDE (QRO),2240.52,2240.52
84096,2022-09-29 19:55:02,29411,20.0% de descuento en productos,1.0,SUC. LA VICTORIA (QRO),-137.588,-137.59
84100,2022-09-29 19:58:41,29411,20.0% de descuento en productos,1.0,SUC. MADERO (QRO),-34.31,-34.31
84107,2022-09-29 20:32:51,25741,SAM A03S 4/64 AZUL,1.0,SUC. LA CRUZ (QRO),3016.38,3016.38
84108,2022-09-29 20:34:48,19474,BLU TANK-MEGA X/X NEGRO/VERDE,1.0,SUC. LA CRUZ (QRO),602.5862069,602.59
84111,2022-09-29 20:49:09,29411,20.0% de descuento en productos,1.0,SUC. URBAN (QRO),-82.586,-82.59
