id,Product_ID,Description,qty,create_uid,price_unit,price_subtotal
49596,19767,"CHIPS EXPRESS TELCEL ""00""",50.0,SUC. PLAZA PATIO (QRO),0.00862069,0.43
49600,29462,MOTO E20 2/32 AZUL KIT,1.0,SUC. PLAZA PATIO (QRO),3102.5,3102.5
49601,25606,NOKIA 110 4MB/4MB NEGRO,1.0,SUC. ALLENDE (QRO),430.17241379,430.17
49607,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. ALAMEDA (QRO),2154.31034483,2154.31
49612,19527,BOCINA MOREKA T23,1.0,SUC. GUERRERO (QRO),171.55172414,171.55
49617,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. ALLENDE (QRO),2154.31034483,2154.31
49619,19888,ESCENCIAS P/HUMIDIFICADOR 10ML AROMAS VA,1.0,SUC. GUERRERO (QRO),42.24137931,42.24
49631,25540,MOTO E6I 2/32 ROSA,1.0,SUC. GUERRERO (QRO),2412.93,2412.93
49641,26144,BLU ZOEY-FLEX-3G X/X DORADO,1.0,SUC. ALLENDE (QRO),688.79310345,688.79
49646,29410,99.99% de descuento en productos,1.0,SUC. HIDALGO 2 (CELAYA),-82.586,-82.59
49654,19419,BATERIA SAM GRAND PRIME EB585157LU,1.0,SUC. CORREGIDORA 3 (QRO),197.4137931,197.41
49659,19147,ALCATEL LTE-5030A-1SE 32GB GRIS KIT,1.0,SUC. ALAMEDA (QRO),1723.28,1723.28
49661,19147,ALCATEL LTE-5030A-1SE 32GB GRIS KIT,1.0,SUC. ALAMEDA (QRO),1723.28,1723.28
49666,19501,BOC060 BOCINA CILINDRO 1HORA BOC060 NEGRO,1.0,SUC. ALLENDE (QRO),300.86206897,300.86
49678,25808,SENWA 3G-S319T-FUSION X/X NEGRO KIT,1.0,SUC. ALLENDE (CELAYA),516.38,516.38
49680,19408,BATERIA T2GO 2000 mAh V/COLORES,1.0,SUC. PLAZA MAYOR (LEON),128.44827586,128.45
49685,19436,BLU C5-2019 1/16 GRIS,1.0,SUC. ALLENDE (QRO),1206.03448276,1206.03
49686,25743,SAM A03S 4/64 ROJO,1.0,SUC. PLAZA MAYOR (LEON),3188.79310345,3188.79
49689,25539,MOTO E6I 2/32 GRIS,1.0,SUC. CORREGIDORA 2 (QRO),2412.931,2412.93
49690,26078,XIAOMI REDMI-NOTE-11S 6/128 NGO,1.0,SUC. CORREGIDORA 2 (QRO),5171.55172414,5171.55
49701,29410,99.99% de descuento en productos,1.0,SUC. LA VICTORIA (QRO),-103.104,-103.1
49702,19864,DIFUSOR JSQ352 1LITRO,1.0,SUC. FIESTA (IRAPUATO),257.75862069,257.76
49703,19888,ESCENCIAS P/HUMIDIFICADOR 10ML AROMAS VA,1.0,SUC. FIESTA (IRAPUATO),42.24137931,42.24
49705,26050,ZTE L210 1/32 NEGRO,1.0,SUC. GUERRERO (QRO),1723.27586207,1723.28
49707,26735,Descuento,894.0,SUC. PLAZA MAYOR (LEON),-0.01,-8.94
49725,29411,20.0% de descuento en productos,1.0,SUC. GUERRERO (QRO),-34.31,-34.31
49733,29493,XIAOMI REDMI-10C 3/64 GRIS,1.0,SUC. CORREGIDORA 4 (QRO),3016.37931034,3016.38
49734,25966,XIAOMI MI-11-LITE-5G 6/128 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),7154.31,7154.31
49739,25999,XIAOMI REDMI-9A 2/32 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),2326.72413793,2326.7200000000003
49740,25740,SAM A03-CORE 2/32 NGO,1.0,SUC. CORREGIDORA 2 (QRO),2154.31034483,2154.31
49741,25739,SAM A03-CORE 2/32 AZUL,1.0,SUC. CORREGIDORA 2 (QRO),2154.31034483,2154.31
49745,19110,ADAPTADOR LIGHTNING A 3.5,1.0,SUC. ANDADOR (CELAYA),85.34482759,85.34
49746,26000,XIAOMI REDMI-9A 2/32 GRIS,1.0,SUC. ALLENDE (QRO),2326.72413793,2326.7200000000003
49747,24956,MI TRUE WIRELESS EARBUDS BASIC2 NGO,1.0,SUC. GUERRERO (QRO),430.17241379,430.17
49752,25539,MOTO E6I 2/32 GRIS,1.0,SUC. ALLENDE (QRO),2412.931,2412.93
49757,25741,SAM A03S 4/64 AZUL,1.0,SUC. PLAZA PATIO (QRO),3447.4137931,3447.41
49762,26041,ZTE A3-LITE 1/32 NEGRO,1.0,SUC. ALLENDE (QRO),1550.86206897,1550.86
49767,26080,XIAOMI REDMI-NOTE-11 4/128 NGO,1.0,SUC. ALLENDE (QRO),4309.48275862,4309.4800000000005
49774,29493,XIAOMI REDMI-10C 3/64 GRIS,1.0,SUC. PLAZA PATIO (QRO),3016.37931034,3016.38
49776,29411,20.0% de descuento en productos,1.0,SUC. LA VICTORIA (QRO),-82.586,-82.59
